,house_id,house_name,price_per_night,rating,review_num,house_url
45,26894049,Two Bedroom Apartment in Arts Community,99,4.54,124,https://www.airbnb.com/rooms/18477382?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
46,32986692,Super luxury West Hollywood Apartment,120,4.70,48,https://www.airbnb.com/rooms/2357443?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
47,35710491,The Den,69,4.78,45,https://www.airbnb.com/rooms/40235146?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
48,20056941,RENOVATED INDUSTRIAL LOFT BY DREAM HOTEL HOLLYWOOD,81,5.0,97,https://www.airbnb.com/rooms/27291841?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
49,4339227,Charming NoHo studio With  Private entrance,74,5.0,144,https://www.airbnb.com/rooms/37878744?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
50,33250843,*New Studio Loft w/ Private Bathroom & Backyard,74,4.70,96,https://www.airbnb.com/rooms/20056941?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=9df8ca45-2618-2582-c9d1-36f6e5b8e2e3&amp;federated_search_id=627400be-f4b1-4025-8b5c-da55b7254cde
51,39771085,Large Private Bedroom in a Lovely Home in Prime LA,60,4.75,137,https://www.airbnb.com/rooms/35680170?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
52,9824768,A Sound Sleep on Kingsize Bed with inside Bathroom,87,4.82,260,https://www.airbnb.com/rooms/13823767?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
53,21610621,Queen bed/ Private Room № 3. Cam.,42,0,178,https://www.airbnb.com/rooms/40307263?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
54,24338145,"Private room & bathroom. Near LAX, Beaches, shops",55,4.91,111,https://www.airbnb.com/rooms/23998602?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
55,31053254,Charming NoHo studio With  Private entrance,72,4.83,72,https://www.airbnb.com/rooms/4339227?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
56,30858845,Venice Beach Dream Life Like Locals next the Beach,108,4.25,286,https://www.airbnb.com/rooms/40235146?location=Los%20Angeles%2C%20CA&amp;adults=2&amp;check_in=2019-12-25&amp;check_out=2019-12-26&amp;previous_page_section_name=1000&amp;search_id=386da28f-27ee-be7b-5944-27d82f84c3e4&amp;federated_search_id=5b5df0cf-cd5e-4919-96c8-595d342ba6b5
