,house_id,lat_lng,address
170,30048816,"(33.73339, -118.28746)","484 W 12th St, San Pedro, CA 90731, USA"
171,23205834,"(34.08154, -118.28235)","658 Maltman Ave, Los Angeles, CA 90026, USA"
172,29209904,"(34.05738, -118.31051)","819 S Manhattan Pl, Los Angeles, CA 90005, USA"
173,17521411,"(34.07066, -118.12485)","2018 S 3rd St, Alhambra, CA 91803, USA"
174,40430119,"(34.1051, -118.34907)","1865 N Fuller Ave, Los Angeles, CA 90046, USA"
175,40761820,"(33.9956937831845, -118.47198769986858)","703 5th Ave, Venice, CA 90291, USA"
176,34367154,"(34.1137, -118.01998)","2218 Hollis Ln, Arcadia, CA 91006, USA"
177,40727788,"(34.04677, -117.73895)","858 E Grand Ave, Pomona, CA 91766, USA"
178,37016789,"(34.0456, -118.25748)","796 S Grand Ave, Los Angeles, CA 90017, USA"
179,40683479,"(34.04236, -118.46511)","Bundy NB & Rochester (Rhode Isl) MB, Los Angeles, CA 90025, USA"
180,39796735,"(33.97803, -118.46254)","3503 Esplanade, Marina Del Rey, CA 90292, USA"
181,17703811,"(33.79705, -118.20271)","2191 Golden Ave, Long Beach, CA 90806, USA"
182,25213709,"(34.10381, -118.37716)","8530 Brier Dr, Los Angeles, CA 90046, USA"
183,5948665,"(34.11258, -118.36245)","2393 Jupiter Dr, Los Angeles, CA 90046, USA"
184,24204542,"(33.97989, -118.34199)","953 E Brett St, Inglewood, CA 90302, USA"
185,20982550,"(34.17393, -118.07517)","3526 Ranch Top Rd, Pasadena, CA 91107, USA"
186,38841296,"(34.04469, -118.26348)","728 W Olympic Blvd, Los Angeles, CA 90015, USA"
187,20494469,"(34.11112, -117.91073)","262 E Renwick Rd, Azusa, CA 91702, USA"
188,40347408,"(34.06868, -118.29433)","313 S Berendo St, Los Angeles, CA 90020, USA"
189,33117480,"(33.71603, -118.30762)","1410 Silvius Ave, San Pedro, CA 90731, USA"
190,23998602,"(34.093216, -118.324966)","6212 La Mirada Ave, Los Angeles, CA 90038, USA"
191,35774599,"(34.093204, -118.324692)","6212 La Mirada Ave, Los Angeles, CA 90038, USA"
192,15556330,"(34.11353, -118.62019)","22755 Chamera Ln, Topanga, CA 90290, USA"
193,38722354,"(34.06585, -118.25107)","1153 Bellevue Ave, Los Angeles, CA 90012, USA"
194,37012797,"(33.74133, -118.29787)","945 W 3rd St, San Pedro, CA 90731, USA"
195,33399874,"(34.08443, -118.3086)","5019 Marathon St, Los Angeles, CA 90029, USA"
196,21701513,"(34.0414, -118.30125)","1745 Normandie Ave, Los Angeles, CA 90006, USA"
197,30183182,"(33.92536, -118.02631)","11623 Corley Dr, Whittier, CA 90604, USA"
198,38728630,"(34.15915, -118.16088)","920 Seco St, Pasadena, CA 91103, USA"
199,33688423,"(34.09569, -118.13274)","300 N 4th St, Alhambra, CA 91801, USA"
200,437082,"(34.09618, -118.61835)","653 Old Topanga Canyon Rd, Topanga, CA 90290, USA"
201,40309139,"(34.0926, -118.30214)","1168 N Kingsley Dr, Los Angeles, CA 90029, USA"
202,24822770,"(34.10914, -118.07079)","6050 Hart Ave, Temple City, CA 91780, USA"
203,84636,"(33.919422, -118.209129)","11920 Long Beach Blvd, Lynwood, CA 90262, USA"
204,35544215,"(33.78938, -118.15776)","1767 N Gladys Ave, Long Beach, CA 90804, USA"
205,40757137,"(33.97582, -118.3664)","934 W Beach Ave, Inglewood, CA 90302, USA"
206,9997050,"(34.04437, -118.25352)","716 1/2 S Broadway, Los Angeles, CA 90014, USA"
207,39087839,"(34.22446, -118.5945)","21216 Chase St, Canoga Park, CA 91304, USA"
